symbol,day,trade_number,wallet,achat,loss,profit,vente,pourcentage,benef
BTC/USDT,04/14/2020,12730,10508.157507107297,6851.98,6838.3256715007865,6872.461492748818,6851.64,-4.9620693580430186e-05,10507.636085043541
BTC/USDT,04/14/2020,12731,10507.636085043541,6840.97,6818.5152005816835,6874.652199127476,6843.58,0.0003815248422372372,10511.645009243173
BTC/USDT,04/14/2020,12732,10511.645009243173,6849.5,6840.623257622939,6862.815113565593,6849.53,4.379881743155755e-06,10511.69104900524
BTC/USDT,04/14/2020,12733,10511.69104900524,6893.11,6878.509486356951,6915.0107704645725,6893.94,0.0001204100906557312,10512.956762677395
BTC/USDT,04/14/2020,12734,10512.956762677395,6883.1,6869.539004978805,6903.441492531793,6891.66,0.0012436256919120005,10526.03094580542
BTC/USDT,04/14/2020,12735,10526.03094580542,6879.33,6865.486086424677,6900.095870362984,6884.92,0.0008125791319794436,10534.58417889455
BTC/USDT,04/14/2020,12736,10534.58417889455,6881.17,6868.987077705661,6899.444383441508,6881.84,9.736716285167678e-05,10535.609901467871
BTC/USDT,04/14/2020,12737,10535.609901467871,6834.24,6820.817141870533,6854.3742871941995,6834.66,6.145526057031546e-05,10536.257370119632
BTC/USDT,04/14/2020,12738,10536.257370119632,6906.34,6871.965192754386,6957.90221086842,6921.65,0.0022168036905219684,10559.614184342003
BTC/USDT,04/14/2020,12739,10559.614184342003,6890.01,6872.865245791187,6915.7271313132205,6890.62,8.853397890564348e-05,10560.54906900145
BTC/USDT,04/14/2020,12740,10560.54906900145,6913.3,6895.611067730967,6939.833398403551,6919.3,0.0008678923234923987,10569.714488470301
BTC/USDT,04/14/2020,12741,10569.714488470301,6950.0,6935.77513551703,6971.337296724455,6954.15,0.000597122302158221,10576.025900718812
BTC/USDT,04/14/2020,12742,10576.025900718812,6923.38,6906.309439421765,6948.985840867353,6928.48,0.0007366344184487135,10583.816565407687
BTC/USDT,04/14/2020,12743,10583.816565407687,6930.61,6916.774084758885,6951.363872861672,6932.65,0.0002943463850945247,10586.931873554218
BTC/USDT,04/15/2020,12744,10586.931873554218,6889.7,6879.484853242005,6905.022720136993,6889.99,4.209181822139769e-05,10587.377496766163
BTC/USDT,04/15/2020,12745,10587.377496766163,6885.18,6875.880795310361,6899.12880703446,6893.15,0.0011575586985379243,10599.633007682249
BTC/USDT,04/15/2020,12746,10599.633007682249,6913.32,6899.053480964442,6934.719778553336,6915.92,0.00037608558550744994,10603.619376868108
BTC/USDT,04/15/2020,12747,10603.619376868108,6900.73,6888.433306097042,6919.175040854436,6901.17,6.376137017395396e-05,10604.29547816838
BTC/USDT,04/15/2020,12748,10604.29547816838,6899.96,6890.497665067094,6914.153502399359,6903.54,0.0005188435874990474,10609.797448877172
BTC/USDT,04/15/2020,12749,10609.797448877172,6739.07,6727.683212109652,6756.150181835521,6740.0,0.0001380012375595284,10611.261614055373
BTC/USDT,04/15/2020,12750,10611.261614055373,6748.05,6741.497718787313,6757.878421819031,6753.27,0.0007735568052993464,10619.470027689737
BTC/USDT,04/16/2020,12751,10619.470027689737,6625.76,6612.309356581799,6645.935965127303,6627.37,0.00024299099273135044,10622.050463254045
BTC/USDT,04/16/2020,12752,10622.050463254045,6626.01,6613.545378137714,6644.7069327934305,6626.28,4.074850475618465e-05,10622.483295927868
BTC/USDT,04/16/2020,12753,10622.483295927868,6633.0,6622.372958789189,6648.940561816215,6636.36,0.0005065581184983676,10627.864201080034
BTC/USDT,04/16/2020,12754,10627.864201080034,6631.44,6618.4250165937065,6650.96247510944,6639.47,0.0012108983870774154,10640.7334646992
BTC/USDT,04/16/2020,12755,10640.7334646992,6636.36,6625.335607764619,6652.896588353069,6639.52,0.00047616464447389293,10645.80020576636
BTC/USDT,04/16/2020,12756,10645.80020576636,6920.52,6889.213045397194,6967.4804319042105,6920.92,5.779912492119612e-05,10646.415523702339
BTC/USDT,04/16/2020,12757,10646.415523702339,6898.83,6872.6626640092345,6938.081003986148,6902.08,0.0004710943739735578,10651.43099015854
BTC/USDT,04/16/2020,12758,10651.43099015854,7039.0,7015.771750739421,7073.842373890869,7043.7,0.0006677084813183433,10658.543040968847
BTC/USDT,04/16/2020,12759,10658.543040968847,7032.61,7011.969666156374,7063.570500765439,7037.5,0.000695332173972441,10665.954268872903
BTC/USDT,04/16/2020,12760,10665.954268872903,6987.38,6953.16614225126,7038.70078662311,7008.91,0.003081269374214619,10698.818947108355
BTC/USDT,04/16/2020,12761,10698.818947108355,7042.17,7021.39494801631,7073.332577975535,7050.0,0.0011118731868159852,10710.714677026244
BTC/USDT,04/16/2020,12762,10710.714677026244,7028.25,7010.123520203961,7055.439719694059,7053.35,0.0035713015330986185,10748.96586877289
BTC/USDT,04/16/2020,12763,10748.96586877289,7009.47,6997.160743773806,7027.9338843392925,7009.26,-2.9959469118212415e-05,10748.643835461891
BTC/USDT,04/16/2020,12764,10748.643835461891,7010.12,6996.579593948011,7030.430609077984,7011.27,0.00016404854695790453,10750.407134864867
BTC/USDT,04/16/2020,12765,10750.407134864867,7097.61,7073.378064588292,7133.957903117562,7113.36,0.002219056837442463,10774.262899322779
BTC/USDT,04/16/2020,12766,10774.262899322779,7097.56,7070.781013321128,7137.728480018309,7100.0,0.0003437801159834647,10777.966876671944
BTC/USDT,04/17/2020,12767,10777.966876671944,7097.03,7081.772213098045,7119.916680352932,7098.66,0.00022967353949470543,10780.442290473065
BTC/USDT,04/17/2020,12768,10780.442290473065,7057.38,7034.9277109311615,7091.058433603258,7064.0,0.0009380251594784312,10790.554616571835
BTC/USDT,04/17/2020,12769,10790.554616571835,7063.74,7050.434629068214,7083.698056397678,7064.47,0.00010334468709217397,10791.669763062237
BTC/USDT,04/17/2020,12770,10791.669763062237,7101.64,7088.416026101359,7121.475960847962,7108.97,0.0010321559527095047,10802.808449247856
BTC/USDT,04/17/2020,12771,10802.808449247856,7097.96,7084.473000515275,7118.1904992270875,7102.07,0.0005790396113812522,10809.063703254134
BTC/USDT,04/17/2020,12772,10809.063703254134,7071.09,7061.4004376874755,7085.624343468788,7073.99,0.0004101206461803818,10813.496723444718
BTC/USDT,04/17/2020,12773,10813.496723444718,7065.73,7055.000685461018,7081.823971808472,7067.0,0.00017974080526717503,10815.440350053543
BTC/USDT,04/17/2020,12774,10815.440350053543,7057.36,7048.92384156875,7070.014237646875,7059.94,0.0003655757960483704,10819.394213269126
BTC/USDT,04/17/2020,12775,10819.394213269126,7062.81,7051.7786076830525,7079.357088475422,7064.16,0.00019114205252575875,10821.462254486136
BTC/USDT,04/18/2020,12776,10821.462254486136,7076.19,7064.130636648809,7094.279045026786,7076.61,5.935397438453077e-05,10822.104551279592
BTC/USDT,04/18/2020,12777,10822.104551279592,7077.34,7064.908317536345,7095.987523695483,7096.4,0.002693102210717514,10851.24958497126
BTC/USDT,04/18/2020,12778,10851.24958497126,7083.66,7072.97376086156,7099.68935870766,7092.72,0.001278999839066302,10865.128331444106
BTC/USDT,04/18/2020,12779,10865.128331444106,7089.02,7077.991692319399,7105.5624615209035,7090.66,0.00023134368361203917,10867.64191025522
BTC/USDT,04/18/2020,12780,10867.64191025522,7090.55,7082.275236713247,7102.962144930129,7093.34,0.00039348146476647985,10871.918125912625
BTC/USDT,04/18/2020,12781,10871.918125912625,7089.1,7080.497104346602,7102.004343480097,7090.0,0.00012695546684341258,10873.298375353785
BTC/USDT,04/18/2020,12782,10873.298375353785,7086.86,7079.315139514016,7098.177290728975,7087.57,0.00010018541356821447,10874.38772124837
BTC/USDT,04/18/2020,12783,10874.38772124837,7097.01,7088.219431784277,7110.195852323585,7097.26,3.522610225996581e-05,10874.770783542253
BTC/USDT,04/18/2020,12784,10874.770783542253,7096.99,7088.766684743534,7109.324972884699,7097.63,9.017907591814663e-05,10875.751460322335
BTC/USDT,04/18/2020,12785,10875.751460322335,7225.76,7212.634577228637,7245.4481341570445,7227.0,0.00017160824605298012,10877.61782895495
BTC/USDT,04/18/2020,12786,10877.61782895495,7209.38,7187.471673169744,7242.242490245385,7209.14,-3.328996390810052e-05,10877.255713450018
BTC/USDT,04/18/2020,12787,10877.255713450018,7208.97,7190.015390069719,7237.401914895423,7211.72,0.00038146919740268025,10881.405051456972
BTC/USDT,04/18/2020,12788,10881.405051456972,7201.76,7186.689444217875,7224.365833673189,7203.38,0.00022494501344114367,10883.85276926253
BTC/USDT,04/18/2020,12789,10883.85276926253,7198.33,7186.264553221545,7216.428170167683,7200.59,0.00031396171056345267,10887.269882295488
BTC/USDT,04/18/2020,12790,10887.269882295488,7195.75,7188.603576149792,7206.469635775312,7200.0,0.0005906264114234097,10893.700191436266
BTC/USDT,04/18/2020,12791,10893.700191436266,7208.53,7200.806669128406,7220.114996307391,7209.73,0.00016646944661391686,10895.513659678712
BTC/USDT,04/18/2020,12792,10895.513659678712,7224.55,7217.565246820469,7235.027129769296,7227.74,0.000441549992733056,10900.324573655966
BTC/USDT,04/18/2020,12793,10900.324573655966,7219.55,7210.901326180416,7232.523010729376,7222.31,0.00038229529541317927,10904.491716458951
BTC/USDT,04/18/2020,12794,10904.491716458951,7219.27,7209.22201143287,7234.341982850695,7221.84,0.000355991672288155,10908.373624700545
BTC/USDT,04/18/2020,12795,10908.373624700545,7218.0,7208.048078181797,7232.927882727305,7219.12,0.00015516763646437944,10910.06625125356
BTC/USDT,04/18/2020,12796,10910.06625125356,7239.88,7223.371005549306,7264.643491676042,7245.0,0.000707194041890182,10917.781785103074
BTC/USDT,04/19/2020,12797,10917.781785103074,7227.86,7218.605424882819,7241.741862675772,7229.17,0.0001812431342057539,10919.760558092381
BTC/USDT,04/19/2020,12798,10919.760558092381,7232.25,7224.093473225129,7244.484790162307,7234.19,0.00026824293961071586,10922.68970676433
BTC/USDT,04/19/2020,12799,10922.68970676433,7163.86,7154.174723079793,7178.387915380311,7165.98,0.0002959298478752922,10925.922056667641
BTC/USDT,04/19/2020,12800,10925.922056667641,7152.62,7141.223181266795,7169.715228099806,7153.65,0.00014400317645838103,10927.495424149538
